,Year,Title,Worldwide gross,Budget
0,1937,Snow White and the Seven Dwarfs,"$418,200,000+ ($8,500,000)R","$1,488,423"
1,1939,Gulliver's Travels,"$3,200,000*","$700,000"
2,1940,Pinocchio,"$87,000,862* ($3,500,000)R","$2,600,000"
3,1941,Dumbo,"$1,600,000*","$950,000"
4,1942,Bambi,"$267,447,150 ($3,449,353)R","$1,700,000–2,000,000"
5,1943,Victory Through Air Power,"$799,000*","~$789,000"
6,1944,The Three Caballeros,"$3,355,000R",TBD
7,1945,The Enchanted Sword,"ES€5,595,283ES (~$90,000)",TBD
8,1946,Make Mine Music,"$3,275,000R","$1,370,000"
9,1947,Fun and Fancy Free,"$3,165,000R",TBD
10,1948,Melody Time,"$2,560,000R","$1,500,000"
11,1949,The Adventures of Ichabod and Mr. Toad,"$1,625,000R",TBD
12,1950,Cinderella,"$263,591,415($20,000,000/$7,800,000)*R","$2,200,000"
13,1951,Alice in Wonderland,"$2,400,000*","$3,000,000"
14,1953,Peter Pan,"$145,000,000 ($7,000,000)","$3,000,000–4,000,000"
15,1955,Lady and the Tramp,"$187,000,000 ($6,500,000)*R","$4,000,000"
16,1959,Sleeping Beauty,"$51,600,000* ($5,300,000)R","$6,000,000"
17,1961,One Hundred and One Dalmatians,"$215,880,212","$3,600,000–4,000,000"
18,1963,The Sword in the Stone,"$22,182,353*R ($13,050,777)*R","$3,000,000"
19,1964,"Hey There, It's Yogi Bear","$1,940,903*–2,438,233*($1,130,000)R",TBD
20,1966,The Man Called Flintstone,"$2,764,684*",TBD
21,1967,The Jungle Book,"$378,000,000($23,800,000)R","$3,900,000–4,000,000"
22,1968,Out of an Old Man's Head,"SEK1,270,971SW (~$245,000)H",TBD
23,1969,A Boy Named Charlie Brown,"$12,000,000*","$1,100,000"
24,1970,The Aristocats,"$191,000,000 ($26,462,000)R","$4,000,000"
25,1971,Daisy Town,"SEK1,202,319 SW (~$253,000)",TBD
26,1972,Fritz the Cat,"$90,000,000","$850,000"
27,1973,Robin Hood,"$32,056,467* ($17,160,000)R","$5,000,000"
28,1974,Dunderklumpen!,"SEK5,813,000SW (~$2,675,205.50)H",TBD
29,1975,The Pinchcliffe Grand Prix,"$6,439,069NW SW",TBD
30,1976,The Smurfs and the Magic Flute,"$19,000,000",TBD
31,1977,The Rescuers,"$169,000,000 ($29,000,000)*","$7,500,000"
32,1978,The Lord of the Rings,"$30,471,420*","$4,000,000"
33,1979,Galaxy Express 999,"¥1,650,000,000JP ($7,610,000)",TBD
34,1980,Doraemon: Nobita's Dinosaur,"¥1,550,000,000JP ($6,200,000)",TBD
35,1981,The Fox and the Hound,"$63,456,988* ($39,900,000)*","$12,000,000"
36,1982,The Secret of NIMH,"$14,665,733*","$7,000,000"
37,1983,Harmagedon: Genma Wars,"¥1,060,000,000JP ($4,500,000)",TBD
38,1984,Doraemon: Nobita's Great Adventure into the Underworld,"¥1,650,000,000JP ($7,300,000)",TBD
39,1985,The Care Bears Movie,"$34,000,000 ($22,934,622)*","$2,000,000–4,500,000"
40,1986,An American Tail,"$84,542,002*","$9,000,000"
41,1987,Doraemon: Nobita and the Knights on Dinosaurs,"¥1,500,000,000JP ($9,800,000)",TBD
42,1988,The Land Before Time,"$84,460,846","$12,300,000"
43,1989,The Little Mermaid,"$211,343,479 ($84,355,863)*","$40,000,000"
44,1990,The Rescuers Down Under,"$47,431,461",TBD
45,1991,Beauty and the Beast,"$424,967,620 ($351,863,363)","$25,000,000"
46,1992,Aladdin,"$504,050,219","$28,000,000"
47,1993,The Nightmare Before Christmas,"$81,877,069 ($50,003,043)*","$18,000,000"
48,1994,The Lion King,"$968,483,777 ($766,964,132)","$45,000,000"
49,1995,Toy Story,"$373,554,033 ($361,958,736)","$30,000,000"
50,1996,The Hunchback of Notre Dame,"$325,338,851","$100,000,000"
51,1997,Hercules,"$252,712,101","$85,000,000"
52,1998,A Bug's Life,"$363,258,859","$120,000,000"
53,1999,Toy Story 2,"$497,366,869 ($485,015,179)","$90,000,000"
54,2000,Dinosaur,"$349,822,765","$127,500,000"
55,2001,"Monsters, Inc.","$577,425,734 ($525,373,250)","$115,000,000"
56,2002,Ice Age,"$383,257,136","$59,000,000"
57,2003,Finding Nemo,"$940,335,536 ($867,893,978)","$94,000,000"
58,2004,Shrek 2,"$919,838,758","$150,000,000"
59,2005,Madagascar,"$532,680,671","$75,000,000"
60,2006,Ice Age: The Meltdown,"$660,940,780","$80,000,000"
61,2007,Shrek the Third,"$798,958,162","$160,000,000"
62,2008,Kung Fu Panda,"$631,744,560","$130,000,000"
63,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$90,000,000"
64,2010,Toy Story 3,"$1,066,969,703","$200,000,000"
65,2011,Kung Fu Panda 2,"$665,692,281","$150,000,000"
66,2012,Ice Age: Continental Drift,"$877,244,782","$95,000,000"
67,2013,Frozen [nb 2],"$1,290,000,000 ($1,287,000,000)","$150,000,000"
68,2014,Big Hero 6,"$657,818,612","$165,000,000"
69,2015,Minions,"$1,159,398,397","$74,000,000"
70,2016,Finding Dory,"$1,028,570,889","$200,000,000"
71,2017,Despicable Me 3,"$1,034,799,409","$80,000,000"
72,2018,Incredibles 2,"$1,242,805,359","$200,000,000"
73,2019,How to Train Your Dragon: The Hidden World,"$509,526,737","$129,000,000"
